time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-22T05:36:28.674Z,58.6549,-151.1449,0,3.4,ml,,,,0.71,ak,ak18483841,2018-02-22T05:52:23.222Z,"112km SSE of Homer, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-22T05:25:49.495Z,62.6838,-151.0546,91.8,1.5,ml,,,,0.63,ak,ak18483837,2018-02-22T05:38:46.051Z,"63km NW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2018-02-22T05:21:22.080Z,33.4793333,-116.4615,4.93,2.08,ml,73,44,0.05316,0.22,ci,ci38113440,2018-02-22T05:32:49.570Z,"21km ESE of Anza, CA",earthquake,0.19,0.72,0.219,25,automatic,ci,ci
2018-02-22T05:18:51.753Z,63.4137,-151.1776,0,1.8,ml,,,,0.88,ak,ak18483834,2018-02-22T05:23:40.564Z,"111km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T05:15:32.920Z,34.3364,25.0167,10,4.2,mb,,115,2.061,0.98,us,us2000d694,2018-02-22T05:41:13.040Z,"74km S of Pirgos, Greece",earthquake,7.7,1.9,0.089,35,reviewed,us,us
2018-02-22T05:14:02.751Z,63.6931,-150.3509,1.7,1.5,ml,,,,1,ak,ak18483833,2018-02-22T05:17:26.084Z,"70km WSW of Healy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-02-22T05:09:00.880Z,37.5574989,-118.3980026,4.51,2.2,md,23,233,0.03726,0.04,nc,nc72973641,2018-02-22T08:14:03.123Z,"19km N of Dixon Lane-Meadow Creek, CA",earthquake,1.36,0.54,0.26,19,automatic,nc,nc
2018-02-22T05:07:28.860Z,34.1785,-118.6698333,9.12,1.93,ml,8,126,0.06496,0.32,ci,ci38113416,2018-02-22T05:11:27.753Z,"3km SW of West Hills, CA",earthquake,1.4,2.48,0.252,12,automatic,ci,ci
2018-02-22T05:02:39.300Z,33.7668333,-116.9325,13.3,0.73,ml,24,59,0.07987,0.21,ci,ci38113408,2018-02-22T05:06:10.187Z,"3km SE of San Jacinto, CA",earthquake,0.34,0.65,0.131,23,automatic,ci,ci
2018-02-22T04:43:50.969Z,59.9007,-152.8032,103.4,1.6,ml,,,,0.36,ak,ak18483816,2018-02-22T04:52:06.589Z,"56km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-02-22T04:27:19.070Z,34.0346667,-117.2383333,15.9,1.22,ml,43,49,0.08728,0.22,ci,ci38113400,2018-02-22T04:38:46.800Z,"3km SE of Loma Linda, CA",earthquake,0.29,0.69,0.161,26,automatic,ci,ci
2018-02-22T04:21:27.920Z,17.9183,-64.7016,30,3.24,md,3,349,1.1688,0.23,pr,pr2018053000,2018-02-22T09:04:31.830Z,"18km N of Christiansted, U.S. Virgin Islands",earthquake,6.62,17.74,0.14,3,reviewed,pr,pr
2018-02-22T03:46:39.150Z,38.8268318,-122.8528366,1.97,0.56,md,10,115,0.0144,0.02,nc,nc72973596,2018-02-22T04:31:03.250Z,"10km WNW of The Geysers, CA",earthquake,0.36,0.69,0.01,2,automatic,nc,nc
2018-02-22T03:45:32.380Z,33.7336667,-117.4681667,7.23,1.92,ml,9,85,0.3152,0.3,ci,ci38113384,2018-02-22T03:49:19.611Z,"14km NE of Trabuco Canyon, CA",earthquake,1.01,18,0.355,28,automatic,ci,ci
2018-02-22T03:29:52.090Z,46.9426667,-121.9531667,13.46,0.63,ml,14,166,0.01447,0.13,uw,uw61370016,2018-02-22T05:03:35.940Z,"25km SE of Orting, Washington",earthquake,0.51,0.5,0.213,7,reviewed,uw,uw
2018-02-22T02:59:41.358Z,61.4998,-146.4415,19.9,1.5,ml,,,,0.68,ak,ak18482446,2018-02-22T03:03:17.326Z,"41km N of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-02-22T02:54:02.958Z,61.5312,-141.1369,11.4,1,ml,,,,0.47,ak,ak18482443,2018-02-22T03:01:29.486Z,"175km E of Chitina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T02:48:47.666Z,61.4433,-151.0809,73.7,0.9,ml,,,,0.08,ak,ak18482442,2018-02-22T02:52:45.411Z,"60km W of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2018-02-22T02:44:27.770Z,37.8243333,-121.9738333,5.29,1.34,md,11,79,0.07106,0.05,nc,nc72973571,2018-02-22T03:49:03.174Z,"2km SW of Diablo, CA",earthquake,0.26,0.44,0.047,9,reviewed,nc,nc
2018-02-22T02:30:24.260Z,34.0645,-117.2871667,15.38,0.68,ml,21,133,0.09704,0.14,ci,ci38113368,2018-02-22T02:41:18.710Z,"3km ESE of Colton, CA",earthquake,0.29,0.43,0.127,8,reviewed,ci,ci
2018-02-22T02:29:22.074Z,61.633,-146.4748,35.5,1.3,ml,,,,0.37,ak,ak18482435,2018-02-22T02:36:33.008Z,"56km N of Valdez, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-02-22T02:21:22.680Z,19.3666668,-155.0919952,2.89,2.22,ml,42,153,0.01951,0.18,hv,hv70042727,2018-02-22T02:26:56.390Z,"16km ESE of Volcano, Hawaii",earthquake,0.53,0.56,3.17,16,automatic,hv,hv
2018-02-22T02:19:50.959Z,63.554,-147.7873,4.9,2.8,ml,,,,0.86,ak,ak18482420,2018-02-22T02:36:32.749Z,"60km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-22T02:10:46.220Z,38.8338318,-122.7965012,8.84,0.56,md,7,149,0.01487,0.02,nc,nc72973561,2018-02-22T04:00:05.195Z,"6km WNW of Cobb, CA",earthquake,2.34,6.6,,1,automatic,nc,nc
2018-02-22T01:58:44.820Z,33.7128333,-116.7291667,17.6,0.49,ml,19,175,0.01261,0.12,ci,ci38113352,2018-02-22T02:47:09.217Z,"3km SSW of Idyllwild, CA",earthquake,0.33,0.37,0.121,7,reviewed,ci,ci
2018-02-22T01:55:43.120Z,38.8074989,-122.8223343,1.96,1.2,md,20,74,0.005519,0.04,nc,nc72973556,2018-02-22T06:15:04.454Z,"7km WNW of The Geysers, CA",earthquake,0.23,0.43,0.08,5,automatic,nc,nc
2018-02-22T01:47:06.920Z,38.7911682,-122.7613297,1.29,0.85,md,11,78,0.02071,0.02,nc,nc72973551,2018-02-22T02:50:03.464Z,"2km NNW of The Geysers, CA",earthquake,0.33,0.7,0.05,4,automatic,nc,nc
2018-02-22T01:44:32.510Z,33.4275,-116.6288333,5.18,0.37,ml,18,100,0.03424,0.09,ci,ci38113344,2018-02-22T03:39:19.552Z,"15km SSE of Anza, CA",earthquake,0.23,0.36,0.149,11,reviewed,ci,ci
2018-02-22T01:44:05.684Z,59.791,-136.5926,1.2,1.7,ml,,,,0.64,ak,ak18481743,2018-02-22T01:52:36.755Z,"81km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-22T01:43:45.750Z,33.677,-116.7305,14.39,0.5,ml,21,103,0.0367,0.12,ci,ci38113336,2018-02-22T03:36:33.530Z,"7km S of Idyllwild, CA",earthquake,0.24,0.34,0.105,9,reviewed,ci,ci
2018-02-22T01:31:08.153Z,59.9882,-152.7747,95.8,1.6,ml,,,,0.55,ak,ak18481731,2018-02-22T01:35:29.095Z,"55km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T01:12:46.840Z,33.855,-117.7198333,10.31,1.16,ml,33,53,0.06362,0.13,ci,ci38113320,2018-02-22T02:05:52.750Z,"9km ESE of Yorba Linda, CA",earthquake,0.19,0.41,0.181,17,reviewed,ci,ci
2018-02-22T00:58:08.270Z,38.8226662,-122.8131638,3.61,0.74,md,8,102,0.002521,0.04,nc,nc72973531,2018-02-22T01:35:03.191Z,"7km NW of The Geysers, CA",earthquake,0.62,1.43,0.22,2,automatic,nc,nc
2018-02-22T00:51:41.190Z,33.9426667,-116.7835,13.16,0.75,ml,24,61,0.09443,0.12,ci,ci37180540,2018-02-22T01:34:40.430Z,"3km N of Cabazon, CA",earthquake,0.24,0.66,0.15,22,reviewed,ci,ci
