,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
76,Mali,2011-01-01,76th,79.3,7.1,4.5,6.0,7.8,6.7,7.3,5.5,8.2,4.9,8.8,5.3,7.2
77,Honduras,2011-01-01,78th,78.3,6.5,6.3,5.3,7.0,8.1,6.6,7.3,6.6,6.3,7.6,3.9,6.9
78,Thailand,2011-01-01,78th,78.3,7.6,8.5,8.0,4.0,7.2,4.4,8.4,5.0,7.3,6.4,6.6,4.9
79,Venezuela,2011-01-01,80th,78.2,7.0,7.3,7.0,6.1,7.3,6.4,7.5,5.8,7.4,6.0,4.8,5.5
80,Algeria,2011-01-01,81st,78.0,7.2,6.8,7.8,5.2,6.8,5.7,7.1,6.1,7.5,6.4,6.1,5.3
81,Russia,2011-01-01,82nd,77.7,7.2,7.8,7.6,4.6,7.6,5.7,7.8,5.3,8.1,6.3,5.1,4.6
82,Belarus,2011-01-01,83rd,77.6,6.3,8.0,6.8,6.2,6.3,4.5,8.8,5.8,8.0,6.3,3.6,7.0
83,Dominican Republic,2011-01-01,84th,76.9,5.8,6.8,6.1,5.6,7.5,7.9,5.8,6.8,6.3,6.5,5.5,6.2
84,Senegal,2011-01-01,85th,76.8,6.3,4.5,6.3,6.5,7.2,6.0,5.9,7.8,6.2,7.6,6.4,6.1
85,Cuba,2011-01-01,86th,76.6,6.9,6.9,5.1,6.0,6.3,6.9,6.6,5.3,7.4,6.3,5.4,7.5
86,Morocco,2011-01-01,87th,76.3,5.9,6.3,6.4,6.0,7.5,6.4,6.9,6.6,6.4,6.4,6.5,4.9
87,Vietnam,2011-01-01,88th,76.1,6.0,6.9,5.7,6.1,6.2,5.7,7.5,6.4,7.7,6.7,5.0,6.1
88,El Salvador,2011-01-01,89th,76.0,7.0,4.3,5.8,6.3,7.6,7.1,6.5,6.9,6.7,7.6,5.3,4.9
89,Cape Verde,2011-01-01,90th,75.8,5.7,5.7,4.2,6.3,6.3,8.3,6.9,6.9,5.7,7.3,4.3,8.2
90,Maldives,2011-01-01,91st,75.6,5.7,7.6,4.9,6.7,5.0,6.8,7.4,6.9,7.0,6.0,5.9,5.8
91,Gabon,2011-01-01,92nd,75.3,5.7,7.1,3.3,5.5,7.9,6.1,7.5,6.7,6.7,6.8,6.2,5.8
92,Saudi Arabia,2011-01-01,93rd,75.2,7.5,7.9,7.5,3.4,7.0,3.2,7.9,4.2,8.9,6.0,5.8,5.9
93,Mexico,2011-01-01,94th,75.1,7.9,5.2,6.1,6.0,7.7,6.5,6.6,5.8,5.9,6.5,4.2,6.7
94,Turkey,2011-01-01,95th,74.9,7.4,7.5,8.3,5.5,7.4,4.5,5.9,5.7,5.2,5.9,6.0,5.6
95,Jordan,2011-01-01,96th,74.5,6.0,6.3,6.7,5.8,6.9,4.7,5.7,4.9,6.8,6.4,7.6,6.8
