,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
7654,51222,6,73,GIESEKING LN,GIESEKING,-90.24335196499999,38.71402888600005
7655,31421,4,59,ST LOUIS AVE,ST LOUIS,-90.21995584699994,38.65415589600008
7656,91114,1,5,MORGANFORD RD,MORGANFORD,-90.26838053199998,38.57744995400003
7657,32111,1,5,WALLACE AVE,WALLACE,-90.27190857899996,38.583349680000026
7658,51322,5,52,WABADA AVE,WABADA,-90.26278690299995,38.668781928000044
7659,64701,2,82,FOREST PARK - GRAND BASIN,,-90.29042684799998,38.641334423000046
7660,142320,6,69,SACRAMENTO AVE,SACRAMENTO,-90.24705788599994,38.67561921500004
7661,69602,5,38,WESTMINSTER PL,WESTMINSTER,-90.25782265099997,38.647916586000065
7662,266510,3,16,MONTANA ST,MONTANA,-90.24319404499994,38.58332864300007
7663,72113,4,77,N VANDEVENTER AVE,VANDEVENTER,-90.23270924499997,38.64996527000005
7664,265321,5,78,DR MARTIN LUTHER KING DR / GOO,,-90.27942190899995,38.67205190100003
7665,265321,6,75,RIVERVIEW DR / WB 270,,-90.18210898899997,38.76788134700007
7666,36421,4,59,DR MARTIN LUTHER KING DR,DR MARTIN LUTHER KING,-90.22938291999998,38.64944688300005
7667,142320,5,48,CHAMBERLAIN AVE,CHAMBERLAIN,-90.27952738899995,38.66164237600003
7668,265321,3,25,MAGNOLIA AVE,MAGNOLIA,-90.23818317299998,38.605625531000044
7669,182999,2,82,LAKE AVE,,-90.27079703399994,38.64476021100006
7670,182400,2,27,RUSSELL AVE,FLORA,-90.25399626199999,38.61450448200003
7671,64701,3,22,LEMP AVE / SENATE ST,,-90.21552801199994,38.60245602100008
7672,65701,4,63,N 13TH ST,13TH,-90.19327820099994,38.644261382000025
7673,69602,2,15,HUMPHREY ST,,-90.24690193199996,38.598884224000074
7674,182400,4,36,OLIVE ST,OLIVE,-90.19946899299998,38.630654968000044
7675,130000,3,24,SHENANDOAH AVE,SHENANDOAH,-90.22400640499995,38.607583755000064
7676,182400,6,73,GOODFELLOW BLVD,GOODFELLOW,-90.25484674299997,38.71424301800005
7677,265321,2,43,MCCAUSLAND AVE,,-90.30852377399998,38.62172935000007
