Index,Crime,District,Neighborhood,ILEADSStreet,Longitude,Latitude
7902,142320,3,21,S 9TH ST,-90.20504513,38.60665606
7903,67601,2,39,MANCHESTER AVE,-90.25128448,38.62800321
7904,64601,4,36,N 21ST ST / LOCUST ST,-90.20939986,38.63338478
7905,71013,6,68,W FLORISSANT AVE,-90.22001109,38.67477501
7906,266999,2,39,MANCHESTER AVE,-90.25173258,38.62738633
7907,91113,2,39,MANCHESTER AVE,-90.25173258,38.62738633
7908,91113,2,39,MANCHESTER AVE,-90.25173258,38.62738633
7909,265321,4,59,N EUCLID AVE,-90.26159377,38.64379722
7910,229999,4,35,WASHINGTON AVE,-90.19528993,38.63114392
7911,64701,4,36,LOCUST ST,-90.20977295,38.63297382
7912,67701,4,35,SPRUCE ST,-90.19737455,38.62340858
7913,142320,5,46,WESTMINSTER PL,-90.29634614,38.65326764
7914,91114,6,55,N EUCLID AVE,-90.25207431,38.67064889
7915,265321,6,70,I 70 WESTBOUND / UNION BLVD,-90.25083082,38.68864835
7916,250000,4,35,WASHINGTON AVE,-90.19593908,38.63128016
7917,142320,5,48,CLEMENS AVE,-90.28210371,38.65616912
7918,65601,4,35,MARKET ST,-90.19215179,38.62544341
7919,64601,4,36,MARKET ST,-90.21498691,38.62999084
7920,44012,2,39,MANCHESTER AVE,-90.25598544,38.62684334
7921,91113,1,2,E CATALAN ST,-90.2657153,38.5394324
7922,91114,1,1,MOTT ST,-90.25221175,38.55665663
7923,31211,4,61,N 14TH ST / OFALLON ST,-90.19710388,38.63915572
7924,51312,6,74,LOWELL ST,-90.22724691,38.72531368
7925,31111,2,13,59TH ST,-90.28728319,38.60884995
7926,182130,4,62,COCHRAN PL,-90.20161785,38.64176495
7927,65701,4,63,HEBERT ST,-90.20216272,38.65527896
7928,71013,4,36,WASHINGTON AVE,-90.19792661,38.63232051
7929,71013,4,36,WASHINGTON AVE,-90.19792661,38.63232051
7930,64701,2,43,MITCHELL TER,-90.30032155,38.62114449
7931,31111,1,1,S GRAND BLVD / WALSH ST,-90.25162778,38.57168454
7932,51112,3,19,OREGON AVE,-90.23106028,38.59290394
7933,51312,6,68,CLAY AVE,-90.22351542,38.67009885
7934,51322,6,69,CARTER AVE,-90.23594912,38.68024072
7935,65701,6,69,SACRAMENTO AVE,-90.24709764,38.67507287
7936,67701,3,19,MINNESOTA AVE,-90.23546932,38.58856717
7937,67701,5,48,PAGE BLVD,-90.27596501,38.66264335
7938,142320,1,5,GRAVOIS AVE,-90.26292886,38.58497666
7939,31111,5,48,HAMILTON AVE,-90.2896122,38.65914844
7940,265321,6,71,W FLORISSANT AVE / SHREVE AVE,-90.2323448,38.68691878
7941,91114,2,15,FAIRVIEW AVE,-90.24981766,38.59588644
7942,51312,1,2,VERMONT AVE,-90.26081083,38.55186937
7943,142320,2,7,CHIPPEWA ST / HAMPTON AVE,-90.29423797,38.59352634
7944,69702,1,16,GRAVOIS AVE,-90.25837901,38.58720529
7945,51111,5,52,ASHLAND AVE,-90.25843755,38.67646979
7946,142320,6,74,RIVERVIEW DR,-90.22737266,38.72681322
7947,265321,3,21,GRAVOIS AVE / I 55 NORTHBOUND,-90.21152175,38.60890464
7948,142320,2,82,FINE ARTS DR,-90.29674588,38.64303706
7949,51312,5,46,WESTMINSTER PL,-90.28878325,38.65283136
7950,64701,2,42,BERTHOLD AVE / GRAHAM ST,-90.29092776,38.62979971
7951,65601,2,39,TALMAGE AVE,-90.25178048,38.62679331
7952,91113,3,19,S GRAND BLVD / GRAVOIS AVE,-90.24354403,38.59272876
7953,142320,5,56,COTE BRILLIANTE AVE,-90.23487664,38.6536964
7954,64601,1,80,HOLLY HILLS AVE,-90.25650003,38.56096031
7955,91114,3,22,SIDNEY ST,-90.22082818,38.60485775
7956,241100,5,50,HODIAMONT AVE,-90.2837468,38.67713166
7957,51112,1,16,LOUISIANA AVE,-90.24452083,38.5771496
7958,51122,6,76,GARESCHE AVE,-90.25899096,38.7050996
7959,266999,2,13,ARSENAL ST,-90.27408942,38.60613696
7960,41016,6,76,RIVERVIEW BLVD,-90.25604885,38.70135635
7961,41014,6,76,RIVERVIEW BLVD,-90.25604885,38.70135635
7962,72113,1,2,S BROADWAY,-90.26841365,38.53879219
7963,71013,1,2,S BROADWAY,-90.26841365,38.53879219
7964,71013,1,2,S BROADWAY,-90.26841365,38.53879219
7965,69602,2,82,GOVERNMENT DR,-90.28844334,38.63516901
7966,265321,3,25,MAGNOLIA AVE,-90.23441686,38.6056802
7967,42011,5,51,UNION BLVD,-90.27214023,38.65855555
7968,265321,3,31,S JEFFERSON AVE,-90.2213696,38.6150684
7969,65701,1,16,ITASKA ST,-90.25391786,38.57760909
7970,64711,2,11,HAMPTON AVE / WILSON AVE,-90.28741697,38.61747242
7971,67601,6,55,GREER AVE,-90.25135522,38.6716606
7972,63701,3,33,LAFAYETTE AVE,-90.20930536,38.61308944
7973,265321,4,59,NATURAL BRIDGE AVE / PRAIRIE A,-90.22272966,38.66377592
7974,229999,4,35,WASHINGTON AVE,-90.19448511,38.63098255
7975,65701,6,86,N BROADWAY / HUMBOLDT AVE,-90.22605797,38.69591349
7976,51112,2,15,GRAVOIS AVE,-90.24846783,38.59205296
7977,42013,2,9,WATSON RD,-90.29263724,38.60739049
7978,42013,2,9,WATSON RD,-90.29263724,38.60739049
7979,42013,2,9,WATSON RD,-90.29263724,38.60739049
7980,64601,4,35,N 2ND ST,-90.1841945,38.63074654
7981,91113,4,64,BREMEN AVE,-90.18896583,38.66688724
7982,69702,2,15,LACKLAND AVE,-90.26549725,38.60428303
7983,51122,1,1,BATES ST,-90.24874372,38.56589322
7984,64601,3,23,I 44 EASTBOUND / S JEFFERSON A,-90.22113578,38.61371959
7985,265321,3,19,S GRAND BLVD / GRAVOIS AVE,-90.24354403,38.59272876
7986,51112,5,54,WALTON AVE,-90.25713672,38.65237178
7987,263299,5,56,BISHOP P L SCOTT AVE / SAINT L,-90.22902998,38.65920228
7988,67701,3,24,CALIFORNIA AVE,-90.22633805,38.61018963
7989,10000,4,59,SULLIVAN AVE,-90.2187078,38.65836512
7990,51112,3,33,RUTGER LN,-90.20635788,38.61642387
7991,64601,4,37,S JEFFERSON AVE,-90.21891037,38.6268645
7992,65701,1,3,WILMINGTON AVE,-90.26550391,38.57104013
7993,31421,4,61,OFALLON ST,-90.20033498,38.63983953
7994,65701,5,38,N TAYLOR AVE / WASHINGTON AVE,-90.25404904,38.6494629
7995,91123,6,69,FARLIN AVE,-90.23445373,38.67291952
7996,67601,2,9,HAMPTON AVE,-90.29143,38.60433212
7997,64701,3,26,RUSSELL AVE,-90.22933359,38.61237961
7998,64601,4,37,OLIVE ST,-90.22413288,38.63504878
7999,64601,4,37,LOCUST ST,-90.21411536,38.63393186
8000,265321,2,9,LINDENWOOD PL,-90.30761908,38.5953422
8001,142320,5,48,ENRIGHT AVE,-90.28270147,38.65466821
8002,44013,5,57,ALDINE AVE,-90.243771,38.6572859
8003,43015,5,57,ALDINE AVE,-90.243771,38.6572859
8004,265321,4,35,N 9TH ST / WASHINGTON AVE,-90.19272162,38.63094773
8005,41011,5,52,PALM ST,-90.25704372,38.67730715
8006,65701,3,31,RUTGER ST,-90.22149281,38.62049464
8007,64601,1,2,MINNESOTA AVE,-90.25899209,38.54988965
8008,65701,1,1,ALASKA AVE,-90.26698684,38.55082381
8009,36111,2,15,S GRAND BLVD,-90.24407211,38.59358665
8010,64701,4,35,N BROADWAY / PINE ST,-90.18925791,38.62708606
8011,142320,1,16,BAMBERGER AVE,-90.24965114,38.58711281
8012,31111,4,65,FARRAR ST / N FLORISSANT AVE,-90.20553967,38.66046903
8013,71030,6,71,CLAXTON AVE,-90.24379985,38.69380368
8014,91114,3,19,MICHIGAN AVE,-90.23654321,38.58900345
8015,64701,2,13,REBER PL,-90.28271478,38.60931935
8016,64601,4,36,N 22ND ST,-90.21073896,38.63372036
8017,265321,1,7,WINONA AVE,-90.27691935,38.59034227
8018,66601,4,77,LINDELL BLVD,-90.23803419,38.6386971
8019,43016,6,69,BESSIE AVE,-90.2388218,38.67913783
8020,142320,3,32,S JEFFERSON AVE / LASALLE ST,-90.21875188,38.62164686
8021,265321,4,60,CASS AVE,-90.20720607,38.64436023
8022,71013,2,15,GRAVOIS AVE,-90.24578102,38.5915831
8023,61701,5,38,MARYLAND PLZ,-90.26145277,38.64471682
8024,64701,3,20,CARROLL ST,-90.19382371,38.60754712
